Handle,Variant Price
1972-73-o-pee-chee-255-wayne-hillman,12
1972-73-o-pee-chee-255-wayne-hillman,
1972-73-o-pee-chee-265-bill-collins,12
1972-73-o-pee-chee-265-bill-collins,
1972-73-o-pee-chee-270-brian-lavender-rc,12
1972-73-o-pee-chee-270-brian-lavender-rc,
1972-73-o-pee-chee-273-michel-belhumeur-rc,24
1972-73-o-pee-chee-273-michel-belhumeur-rc,
1972-73-o-pee-chee-274-eddie-shack,18
1972-73-o-pee-chee-274-eddie-shack,
1972-73-o-pee-chee-281-nick-beverley-rc,24
1972-73-o-pee-chee-281-nick-beverley-rc,
1972-73-o-pee-chee-282-larry-carriere-rc,12
1972-73-o-pee-chee-282-larry-carriere-rc,
1972-73-o-pee-chee-284-rick-smith-ia,15
1972-73-o-pee-chee-284-rick-smith-ia,
1972-73-o-pee-chee-285-jerry-korab-rc,18
1972-73-o-pee-chee-285-jerry-korab-rc,
1972-73-o-pee-chee-288-barry-long-rc,15
1972-73-o-pee-chee-288-barry-long-rc,
1972-73-o-pee-chee-289-dean-prentice,15
1972-73-o-pee-chee-289-dean-prentice,
1971-topps-11-elliott-maddox-rc,4.5
1971-topps-11-elliott-maddox-rc,
1971-topps-51-steve-kline-rc,4.5
1971-topps-51-steve-kline-rc,
1971-topps-130-denis-menke,4.5
1971-topps-130-denis-menke,
1969-o-pee-chee-27-bernie-allen,6
1969-o-pee-chee-27-bernie-allen,
1971-topps-590-alex-johnson,18
1971-topps-590-alex-johnson,
1970-topps-62-al-batting-leaders-rod-carew-reggie-smith-tony-oliva,6
1970-topps-62-al-batting-leaders-rod-carew-reggie-smith-tony-oliva,
1971-topps-366-ron-stone,4.5
1971-topps-366-ron-stone,
1970-topps-105-tony-gonzalez,2.25
1970-topps-105-tony-gonzalez,
1971-topps-365-bob-johnson,4.5
1971-topps-365-bob-johnson,
1971-topps-287-mike-fiore,4.5
1971-topps-287-mike-fiore,
1970-o-pee-chee-cfl-99-sonny-wade,18
1970-o-pee-chee-cfl-99-sonny-wade,
1971-topps-279-lefty-phillips-mg,4.5
1971-topps-279-lefty-phillips-mg,
1971-topps-155-ken-henderson,4.5
1971-topps-155-ken-henderson,
1971-topps-138-rookie-stars-joe-lis-willie-montanez-rc,6
1971-topps-138-rookie-stars-joe-lis-willie-montanez-rc,
1971-topps-173-gil-garrido,4.5
1971-topps-173-gil-garrido,
1962-topps-436-felix-mantilla,32
1962-topps-436-felix-mantilla,
1970-topps-scratchoffs-13-tim-mccarver,4.5
1970-topps-scratchoffs-13-tim-mccarver,
1971-topps-69-al-pitching-leaders-mike-cuellar-dave-mcnally-jim-perry,6
1971-topps-69-al-pitching-leaders-mike-cuellar-dave-mcnally-jim-perry,
1971-topps-259-dave-marshall,4.5
1971-topps-259-dave-marshall,
1971-topps-22-phil-roof,4.5
1971-topps-22-phil-roof,
1971-topps-229-jim-hannan,4.5
1971-topps-229-jim-hannan,
1972-o-pee-chee-185-ron-bryant,4.5
1972-o-pee-chee-185-ron-bryant,
1971-topps-9-george-scott,6
1971-topps-9-george-scott,
1971-topps-265-jim-northrup,6
1971-topps-265-jim-northrup,
1970-topps-389-jim-shellenback,4.5
1970-topps-389-jim-shellenback,
1972-o-pee-chee-36-jerry-johnson-ia,3
1972-o-pee-chee-36-jerry-johnson-ia,
1971-topps-84-marcel-lachemann-rc,4.5
1971-topps-84-marcel-lachemann-rc,
1971-topps-225-gary-peters,4.5
1971-topps-225-gary-peters,
